CUI	ICD10_code	ICD10_label	hpo_code	hpo_label	phecode1.2_codeList	phecodeX_codeList	ICD10_simpleLabel	phecodeXupdated_codeList
C0000727	R10.0	Acute abdomen	HP_0033400	Acute abdomen	['785']	['527']	acute abdomen	['GI_527']
C0000737	R10.9	Unspecified abdominal pain	HP_0002027	Abdominal pain	['785']	['527']	abdominal pain	['GI_527']
C0000744	E78.6	Lipoprotein deficiency	HP_0008181	Abetalipoproteinemia	['277', '277.5', '277.51']	['244', '244.1']	lipoprotein deficiency	['GE_965.3']
C0000832	O45.9	Premature separation of placenta, unspecified	HP_0011419	Placental abruption	['635', '635.2']	['907', '907.3']	premature separation of placenta	['PP_907.3']
C0000832	O45	Premature separation of placenta [abruptio placentae]	HP_0011419	Placental abruption	['635', '635.2']	['907', '907.3']	premature separation of placenta abruptio placentae	['PP_907.3']
C0000832	O45.90	Premature separation of placenta, unspecified, unspecified trimester	HP_0011419	Placental abruption	['635', '635.2']	['907', '907.3']	premature separation of placentaunspecified trimester	['PP_907.3']
C0000889	L83	Acanthosis nigricans	HP_0000956	Acanthosis nigricans	['701', '701.6']	['674', '674.2', '674.23']	acanthosis nigricans	['DE_680.5']
C0001075	K31.83	Achlorhydria	HP_0032448	Achlorhydria	['536']	['516', '516.6']	achlorhydria	['GI_516.6']
C0001122	E87.2	Acidosis	HP_0001941	Acidosis	['276', '276.4', '276.41']	['256', '256.3', '256.31']	acidosis	['EM_256.31']
C0001125	E87.2	Acidosis	HP_0003128	Lactic acidosis	['276', '276.4', '276.41']	['256', '256.3', '256.31']	acidosis	['EM_256.31']
C0001126	N25.89	Other disorders resulting from impaired renal tubular function	HP_0001947	Renal tubular acidosis	['588']	['588', '588.1']	other disorders resulting from impaired renal tubular function	['GU_588.1']
C0001127	E87.2	Acidosis	HP_0005972	Respiratory acidosis	['276', '276.4', '276.41']	['256', '256.3', '256.31']	acidosis	['EM_256.31']
C0001339	K85	Acute pancreatitis	HP_0001735	Acute pancreatitis	['577', '577.1']	['554', '554.1', '554.11']	acute pancreatitis	['GI_554.11']
C0001339	K85.9	Acute pancreatitis, unspecified	HP_0001735	Acute pancreatitis	['577', '577.1']	['554', '554.1', '554.11']	acute pancreatitis	['GI_554.11']
C0001403	E27.1	Primary adrenocortical insufficiency	HP_0008207	Primary adrenal insufficiency	['255', '255.2', '255.21']	['211', '211.2', '211.21']	primary adrenocortical insufficiency	['EM_211.2']
C0001621	E27.9	Disorder of adrenal gland, unspecified	HP_0000834	Abnormality of the adrenal glands	['255']	['211']	disorder of adrenal gland	['EM_211']
C0001627	E25.0	Congenital adrenogenital disorders associated with enzyme deficiency	HP_0008258	Congenital adrenal hyperplasia	['255', '255.3']	['211', '211.3', '211.31']	congenital adrenogenital disorders associated with enzyme deficiency	['EM_211.3', 'GE_978.12']
C0001816	R48.1	Agnosia	HP_0010524	Agnosia	['292', '292.1', '292.12']	['894']	agnosia	['MB_303']
C0001818	F40.00	Agoraphobia, unspecified	HP_0000756	Agoraphobia	['300', '300.1', '300.12']	['288', '288.4', '288.41']	agoraphobia	['MB_288.41']
C0001818	F40.0	Agoraphobia	HP_0000756	Agoraphobia	['300', '300.1', '300.12']	['288', '288.4', '288.41']	agoraphobia	['MB_288.41']
C0001824	D70	Neutropenia	HP_0012234	Agranulocytosis	['288', '288.1', '288.11']	['170', '170.1']	neutropenia	['BI_170.1']
C0001860	L94.6	Ainhum	HP_0031009	Ainhum	['136']	['680', '680.4']	ainhum	['DE_680.4']
C0001916	E70.30	Albinism, unspecified	HP_0001022	Albinism	['270', '270.1']	['240', '240.1', '240.13']	albinism	['GE_962.13']
